epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,121.981,0.89841,3.5679,1.22113,0.15623,0.49405,0.22775,0.17614,0.83848,2.27466,1.14963,0.000175184,0.000175184,0.000175184
2,224.633,0.81803,2.72525,1.1441,0.25174,0.50472,0.30253,0.24201,0.78546,1.9742,1.11409,0.000338951,0.000338951,0.000338951
3,324.742,0.80758,2.35303,1.13146,0.31315,0.53711,0.34949,0.28592,0.75844,1.76745,1.08452,0.000491145,0.000491145,0.000491145
4,424.514,0.79472,2.0891,1.11341,0.31699,0.58035,0.42583,0.34674,0.7392,1.68675,1.07568,0.000473926,0.000473926,0.000473926
5,526.011,0.76037,1.83769,1.09349,0.47773,0.55145,0.54346,0.44977,0.74914,1.47946,1.06025,0.000456568,0.000456568,0.000456568
6,631.749,0.73817,1.65271,1.08182,0.62179,0.6453,0.6766,0.55534,0.75961,1.21007,1.07451,0.00043921,0.00043921,0.00043921
7,735.364,0.72114,1.50626,1.07264,0.73051,0.68141,0.72922,0.61042,0.7027,1.05433,1.03974,0.000421852,0.000421852,0.000421852
8,871.112,0.70163,1.39859,1.05466,0.69926,0.74922,0.77259,0.66283,0.69128,1.09536,1.0235,0.000404494,0.000404494,0.000404494
9,982.683,0.69065,1.27219,1.05586,0.80845,0.72713,0.80378,0.68374,0.67757,0.94866,1.01405,0.000387136,0.000387136,0.000387136
10,1090.51,0.67833,1.21367,1.03921,0.79736,0.76864,0.83338,0.70404,0.67787,0.96075,1.02598,0.000369778,0.000369778,0.000369778
11,1198.94,0.66614,1.14307,1.03962,0.87658,0.75486,0.84658,0.72425,0.67855,0.76466,1.01326,0.00035242,0.00035242,0.00035242
12,1303.48,0.66844,1.13415,1.03887,0.87984,0.78179,0.87721,0.73955,0.67434,0.75011,1.01466,0.000335062,0.000335062,0.000335062
13,1408.02,0.65447,1.06218,1.02954,0.89853,0.79581,0.87634,0.74028,0.6672,0.70637,1.00324,0.000317704,0.000317704,0.000317704
14,1513.4,0.65142,1.03183,1.02423,0.92067,0.79747,0.89235,0.75181,0.67748,0.6631,1.00094,0.000300346,0.000300346,0.000300346
15,1618.38,0.63782,0.99131,1.01822,0.90437,0.82533,0.90173,0.76429,0.65214,0.6517,0.9951,0.000282988,0.000282988,0.000282988
16,1724.58,0.64011,0.98047,1.02078,0.95327,0.83337,0.92145,0.78273,0.64639,0.5799,0.99232,0.00026563,0.00026563,0.00026563
17,1830.08,0.62225,0.94325,1.00691,0.95585,0.81655,0.92432,0.78857,0.63274,0.5719,0.9809,0.000248272,0.000248272,0.000248272
18,1937.43,0.61042,0.89891,1.00216,0.92208,0.83659,0.91018,0.77976,0.62711,0.58201,0.97725,0.000230914,0.000230914,0.000230914
19,2044.94,0.61396,0.88068,1.00496,0.92676,0.84584,0.92329,0.78771,0.6233,0.55034,0.97476,0.000213556,0.000213556,0.000213556
20,2151.84,0.61187,0.86091,1.00204,0.95033,0.82611,0.92674,0.79334,0.61768,0.51677,0.9681,0.000196198,0.000196198,0.000196198
21,2289.32,0.59584,0.59935,0.96595,0.93075,0.85474,0.92895,0.79214,0.63319,0.53192,0.97737,0.00017884,0.00017884,0.00017884
22,2394.95,0.58367,0.57332,0.95425,0.92024,0.84384,0.92401,0.78997,0.62132,0.52492,0.96829,0.000161482,0.000161482,0.000161482
23,2499.97,0.58007,0.53789,0.95071,0.91894,0.86458,0.93463,0.79724,0.62324,0.5016,0.97072,0.000144124,0.000144124,0.000144124
24,2604.33,0.56851,0.5175,0.9419,0.95369,0.86367,0.94286,0.80871,0.6097,0.47965,0.9689,0.000126766,0.000126766,0.000126766
25,2708.43,0.56726,0.50272,0.94234,0.96061,0.86448,0.94259,0.81069,0.5996,0.47139,0.9554,0.000109408,0.000109408,0.000109408
26,2811.97,0.55536,0.49267,0.93518,0.96365,0.86087,0.9434,0.81265,0.6022,0.45495,0.95473,9.205e-05,9.205e-05,9.205e-05
27,2916.43,0.55013,0.472,0.9348,0.96192,0.86999,0.95022,0.81743,0.59093,0.45148,0.95125,7.4692e-05,7.4692e-05,7.4692e-05
28,3019.95,0.54405,0.46198,0.9331,0.95927,0.88271,0.95211,0.81936,0.59261,0.44113,0.9495,5.7334e-05,5.7334e-05,5.7334e-05
29,3125.39,0.53806,0.45112,0.92736,0.95624,0.88377,0.95271,0.81909,0.59061,0.43117,0.94856,3.9976e-05,3.9976e-05,3.9976e-05
30,3229.62,0.53126,0.43599,0.9222,0.95244,0.89098,0.95282,0.82117,0.5872,0.422,0.94896,2.2618e-05,2.2618e-05,2.2618e-05
